ALDER;INDHOLD
0;32655
1;31464
2;31839
3;31991
4;31908
5;32434
6;30679
7;30391
8;30018
9;31453
10;31685
11;34286
12;34281
13;35540
14;34888
15;35416
16;34810
17;34970
18;35114
19;35532
20;36356
21;37944
22;38063
23;39000
24;40166
25;40600
26;42013
27;42131
28;41036
29;41675
30;40064
31;40196
32;38877
33;38047
34;36515
35;35919
36;34639
37;33517
38;32556
39;33449
40;32797
41;34510
42;35028
43;35863
44;35542
45;37032
46;39518
47;38967
48;38746
49;40310
50;40091
51;38034
52;38051
53;39367
54;41768
55;44583
56;42871
57;41794
58;40425
59;37837
60;36442
61;36125
62;34161
63;34067
64;33432
65;33140
66;32318
67;30952
68;31146
69;30006
70;29181
71;29137
72;28397
73;29509
74;30636
75;30960
76;28705
77;25824
78;22659
79;20686
80;17319
81;15729
82;14047
83;12808
84;11054
85;9483
86;7833
87;6601
88;5451
89;4415
90;3467
91;2750
92;2141
93;1650
94;1138
95;851
96;555
97;376
98;228
99;117
100;67
101;47
102;24
103;22
104;3
105;3
106;1
107;1
108;0
109;0
110;0
