"age","Australia_Male","Austria_Male","Belgium_Male","Bulgaria_Male","Canada_Male","Czech Republic_Male","Denmark_Male","Estonia_Male","Finland_Male","France_Male","Germany_Male","Hungary_Male","Ireland_Male","Italy_Male","Japan_Male","Latvia_Male","Lithuania_Male","Luxembourg_Male","Netherlands_Male","Poland_Male","Portugal_Male","Russia_Male","Slovakia_Male","Slovenia_Male","Spain_Male","Sweden_Male","United Kingdom_Male","United States_Male","Australia_Female","Austria_Female","Belgium_Female","Bulgaria_Female","Canada_Female","Czech Republic_Female","Denmark_Female","Estonia_Female","Finland_Female","France_Female","Germany_Female","Hungary_Female","Ireland_Female","Italy_Female","Japan_Female","Latvia_Female","Lithuania_Female","Luxembourg_Female","Netherlands_Female","Poland_Female","Portugal_Female","Russia_Female","Slovakia_Female","Slovenia_Female","Spain_Female","Sweden_Female","United Kingdom_Female","United States_Female"
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,99528,99600,99620,98938,99488,99698,99689,99582,99740,99586,99614,99468,99630,99631,99738,99249,99332,99828,99585,99395,99596,99080,99316,99778,99666,99742,99489,99284,99649,99649,99692,99187,99523,99734,99712,99703,99719,99664,99698,99506,99721,99686,99787,99292,99533,99671,99649,99493,99693,99279,99526,99747,99713,99759,99583,99415
2,99495,99572,99570,98887,99453,99674,99663,99521,99723,99554,99576,99433,99587,99607,99697,99179,99299,99793,99554,99362,99555,98988,99246,99750,99637,99701,99458,99237,99616,99607,99651,99102,99503,99701,99678,99652,99705,99638,99672,99469,99661,99664,99752,99240,99519,99671,99624,99461,99657,99205,99486,99727,99682,99735,99558,99376
3,99471,99545,99549,98854,99433,99646,99657,99521,99717,99531,99557,99417,99556,99591,99677,99140,99252,99793,99530,99336,99530,98934,99217,99731,99618,99675,99439,99206,99603,99584,99634,99049,99489,99688,99647,99625,99691,99619,99658,99452,99649,99653,99735,99192,99477,99671,99609,99443,99639,99160,99444,99717,99669,99718,99538,99351
4,99458,99528,99528,98795,99421,99637,99654,99521,99707,99513,99543,99393,99541,99581,99662,99109,99217,99793,99514,99320,99515,98886,99181,99731,99598,99653,99428,99182,99588,99576,99622,99016,99477,99681,99631,99610,99681,99607,99645,99431,99643,99645,99719,99173,99455,99635,99595,99424,99626,99130,99414,99706,99657,99700,99522,99332
5,99444,99521,99511,98769,99410,99627,99642,99507,99697,99504,99526,99382,99526,99569,99648,99071,99210,99660,99505,99308,99501,98847,99160,99710,99583,99645,99419,99164,99575,99561,99614,98988,99467,99670,99625,99610,99674,99596,99634,99423,99637,99636,99708,99153,99433,99635,99583,99408,99618,99099,99379,99695,99644,99699,99509,99317
6,99427,99507,99501,98721,99393,99619,99639,99507,99680,99491,99516,99369,99520,99561,99636,99043,99176,99627,99499,99288,99492,98805,99145,99699,99569,99638,99408,99149,99564,99556,99605,98969,99456,99664,99619,99550,99667,99587,99624,99412,99627,99629,99696,99127,99419,99635,99571,99400,99609,99071,99368,99695,99636,99691,99498,99304
7,99416,99497,99492,98678,99383,99600,99630,99507,99680,99480,99505,99355,99516,99553,99625,99018,99162,99594,99489,99273,99483,98772,99119,99688,99558,99627,99397,99136,99555,99554,99593,98953,99450,99644,99603,99518,99663,99579,99615,99402,99614,99621,99686,99102,99419,99635,99562,99384,99599,99044,99352,99649,99630,99685,99490,99291
8,99406,99490,99486,98642,99367,99596,99621,99477,99670,99470,99496,99341,99497,99540,99616,98982,99128,99594,99475,99261,99472,98735,99096,99666,99550,99615,99390,99123,99551,99543,99576,98934,99441,99635,99591,99502,99656,99572,99604,99389,99607,99612,99679,99086,99412,99635,99551,99369,99592,99020,99344,99638,99619,99670,99483,99282
9,99398,99480,99483,98630,99360,99583,99615,99477,99666,99462,99488,99327,99497,99535,99607,98936,99096,99594,99461,99242,99455,98701,99081,99656,99544,99601,99379,99111,99542,99533,99567,98921,99433,99622,99585,99502,99649,99563,99598,99381,99601,99604,99671,99070,99405,99635,99547,99355,99577,98996,99328,99626,99612,99664,99476,99272
10,99388,99469,99474,98595,99350,99573,99612,99477,99656,99455,99481,99311,99491,99526,99598,98895,99091,99594,99454,99229,99443,98666,99070,99645,99535,99590,99371,99097,99532,99519,99557,98906,99425,99617,99582,99486,99645,99555,99593,99368,99601,99594,99665,99043,99380,99602,99540,99346,99570,98975,99324,99626,99603,99659,99465,99260
11,99376,99455,99465,98577,99338,99560,99609,99477,99643,99446,99472,99307,99481,99516,99589,98858,99057,99562,99448,99212,99431,98631,99039,99624,99525,99578,99363,99085,99520,99511,99545,98890,99415,99608,99575,99486,99638,99548,99584,99359,99590,99589,99657,99026,99368,99602,99534,99334,99563,98954,99306,99626,99594,99653,99458,99250
12,99370,99448,99449,98548,99333,99540,99601,99461,99636,99435,99463,99291,99478,99504,99582,98814,99013,99562,99438,99200,99413,98599,99022,99614,99513,99572,99353,99069,99509,99509,99540,98879,99409,99597,99566,99486,99628,99541,99575,99347,99583,99582,99653,99020,99350,99602,99528,99322,99550,98927,99278,99626,99588,99644,99448,99238
13,99360,99438,99437,98511,99318,99523,99584,99461,99633,99424,99455,99276,99468,99489,99575,98761,98986,99531,99424,99183,99396,98559,99009,99604,99499,99560,99343,99054,99499,99500,99528,98850,99400,99585,99564,99486,99621,99535,99567,99331,99576,99575,99645,99003,99328,99602,99522,99310,99543,98907,99257,99626,99579,99642,99438,99226
14,99345,99427,99418,98461,99308,99511,99576,99415,99617,99414,99446,99247,99451,99478,99563,98727,98950,99499,99413,99168,99389,98515,98990,99594,99483,99549,99330,99035,99491,99487,99522,98837,99392,99579,99555,99470,99605,99525,99558,99314,99569,99567,99637,98977,99300,99602,99514,99289,99528,98877,99240,99616,99572,99638,99427,99213
15,99331,99398,99407,98425,99288,99475,99565,99385,99602,99394,99427,99223,99426,99458,99551,98704,98916,99499,99400,99136,99373,98462,98963,99594,99470,99522,99315,99011,99479,99463,99512,98810,99375,99565,99546,99470,99586,99511,99545,99297,99551,99558,99629,98953,99285,99602,99498,99267,99517,98840,99227,99616,99564,99620,99414,99198
